order_id,due date,start_time,finish_time,through_put_time,lateness,fitness,priority,variant0,quantity0,variant1,quantity1,variant2,quantity2,planned_week,finished_week,planned_day,finished_day
98,385968,320173.6,322669.1,2495.5,-63298.90000000002,-0.017583027777777784,1,FUSE0,9,FUSE1,9,FUSE2,8,3,3,13,2
99,153998,129502.0,132111.9,2609.899999999994,-21886.100000000006,-0.01719534413747434,2,FUSE0,9,FUSE1,9,FUSE2,9,2,1,6,5
100,129541,180362.4,182568.7,2206.3000000000175,53027.70000000001,1088.6038603003362,1,FUSE0,7,FUSE1,7,FUSE2,8,1,2,4,2
101,169026,133917.6,136336.7,2419.100000000006,-32689.29999999999,-0.009080361111111108,1,FUSE0,8,FUSE1,8,FUSE2,8,2,1,6,5
102,500792,420829.2,423398.7,2569.5,-77393.29999999999,-0.24035649972643672,5,FUSE0,9,FUSE1,9,FUSE2,9,4,3,17,5
103,35129,22524.4,24795.7,2271.2999999999993,-10333.3,-0.002870361111111111,1,FUSE0,8,FUSE1,8,FUSE2,7,1,1,1,1
104,298607,237266.0,239834.7,2568.7000000000116,-58772.29999999999,-0.04617587986214458,2,FUSE0,8,FUSE1,8,FUSE2,9,2,2,10,4
105,436553,360861.2,363247.9,2386.7000000000116,-73305.09999999998,-0.10580679804493105,3,FUSE0,7,FUSE1,7,FUSE2,7,3,3,15,3
106,514244,449027.6,469455.9,20428.300000000047,-44788.09999999998,-0.035188854696068,2,FUSE0,9,FUSE1,9,FUSE2,10,4,4,18,2
107,460788,381017.6,383450.3,2432.7000000000116,-77337.70000000001,-0.11162735478376631,3,FUSE0,9,FUSE1,9,FUSE2,9,4,3,16,4
108,431545,358252.4,360586.3,2333.899999999965,-70958.70000000001,-0.019710750000000006,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,15,3
109,349573,329012.0,331214.3,2202.2999999999884,-18358.70000000001,-0.005099638888888892,1,FUSE0,7,FUSE1,7,FUSE2,6,3,3,12,2
110,10747,2274.2,4995.5,2721.3,-5751.5,-0.001597638888888889,1,FUSE0,10,FUSE1,9,FUSE2,10,1,1,1,1
111,561272,505007.6,507740.3,2732.7000000000116,-53531.70000000001,-0.01486991666666667,1,FUSE0,9,FUSE1,9,FUSE2,9,4,4,20,3
112,447973,386960.4,389656.1,2695.6999999999534,-58316.90000000002,-0.04581808383086422,2,FUSE0,9,FUSE1,9,FUSE2,9,4,3,16,4
113,133465,78105.4,80615.5,2510.100000000006,-52849.5,-0.16413204802343767,5,FUSE0,8,FUSE1,8,FUSE2,9,1,1,5,3
114,231833,196269.2,198657.9,2388.6999999999825,-33175.100000000006,-0.009215305555555558,1,FUSE0,8,FUSE1,8,FUSE2,8,2,2,8,2
115,185104,135386.4,137838.9,2452.5,-47265.100000000006,-0.03713496969273366,2,FUSE0,9,FUSE1,9,FUSE2,8,2,1,6,5
116,45452,36967.4,39687.5,2720.0999999999985,-5764.5,-0.00160125,1,FUSE0,9,FUSE1,9,FUSE2,8,1,1,2,2
117,382812,310647.6,312888.7,2241.100000000035,-69923.29999999999,-0.10092559019406738,3,FUSE0,7,FUSE1,7,FUSE2,8,3,3,13,1
118,145560,186023.6,189933.9,3910.2999999999884,44373.899999999994,852.0704337191459,1,FUSE0,9,FUSE1,9,FUSE2,8,1,2,5,2
119,389217,321697.6,324084.3,2386.7000000000116,-65132.70000000001,-0.01809241666666667,1,FUSE0,8,FUSE1,8,FUSE2,8,3,3,13,2
120,200043,162652.0,165344.3,2692.2999999999884,-34698.70000000001,-0.009638527777777782,1,FUSE0,8,FUSE1,8,FUSE2,10,2,2,7,1
121,326778,286629.6,289267.9,2638.3000000000466,-37510.09999999998,-0.010419472222222217,1,FUSE0,9,FUSE1,8,FUSE2,9,3,3,11,1
122,452515,379654.4,382005.9,2351.5,-70509.09999999998,-0.055397180828178204,2,FUSE0,7,FUSE1,7,FUSE2,8,4,3,16,4
