unit_seq,order_id,unit_id,variant,route_id
253,164,U4099,FUSE1,p:1.1.1.1.2.2
254,164,U4100,FUSE1,p:2.1.3.1.2.2
255,164,U4101,FUSE1,p:1.1.5.1.2.2
256,164,U4102,FUSE1,p:2.1.2.2.2.2
257,164,U4103,FUSE1,p:1.2.4.1.2.2
258,164,U4104,FUSE1,p:2.1.1.1.2.2
259,164,U4105,FUSE2,p:1.1.3.1.2.2
260,164,U4106,FUSE2,p:2.1.5.1.2.2
261,164,U4107,FUSE2,p:1.1.2.2.2.2
262,164,U4108,FUSE2,p:2.1.4.1.2.2
263,164,U4109,FUSE2,p:1.2.1.1.2.2
264,164,U4110,FUSE2,p:2.1.3.1.2.2
265,164,U4111,FUSE2,p:1.1.5.1.2.2
266,164,U4112,FUSE2,p:2.1.2.2.2.2
267,231,U5766,FUSE0,p:1.1.4.1.2.2
268,231,U5767,FUSE0,p:2.1.1.1.2.2
269,231,U5768,FUSE0,p:1.1.3.1.2.2
270,231,U5769,FUSE0,p:2.1.1.1.2.2
271,231,U5770,FUSE0,p:1.1.4.1.2.2
272,231,U5771,FUSE0,p:2.1.5.1.2.2
273,231,U5772,FUSE0,p:1.2.2.2.2.2
274,231,U5773,FUSE0,p:2.1.3.1.2.2
275,231,U5774,FUSE1,p:1.1.4.1.2.2
276,231,U5775,FUSE1,p:2.1.1.1.2.2
277,231,U5776,FUSE1,p:1.1.5.1.2.2
278,231,U5777,FUSE1,p:2.1.2.2.2.2
279,231,U5778,FUSE1,p:1.1.3.1.2.2
280,231,U5779,FUSE1,p:2.1.4.1.2.2
281,231,U5780,FUSE1,p:1.2.1.1.2.2
282,231,U5781,FUSE1,p:2.1.5.1.2.2
283,231,U5782,FUSE2,p:1.1.2.1.2.2
284,231,U5783,FUSE2,p:2.1.3.1.2.2
285,231,U5784,FUSE2,p:1.1.4.1.2.2
286,231,U5785,FUSE2,p:2.1.1.1.2.2
287,231,U5786,FUSE2,p:1.1.5.1.2.2
288,231,U5787,FUSE2,p:2.1.2.1.2.2
289,231,U5788,FUSE2,p:1.1.3.1.2.2
290,231,U5789,FUSE2,p:2.1.4.1.2.2
291,231,U5790,FUSE2,p:1.1.1.1.2.2
292,299,U7486,FUSE0,p:2.1.5.1.2.2
293,299,U7487,FUSE0,p:1.1.2.1.2.2
294,299,U7488,FUSE0,p:2.1.3.1.2.2
295,299,U7489,FUSE0,p:1.1.5.1.2.2
296,299,U7490,FUSE0,p:2.1.4.1.2.2
297,299,U7491,FUSE0,p:1.1.2.1.2.2
298,299,U7492,FUSE0,p:2.1.1.1.2.2
299,299,U7493,FUSE0,p:1.1.3.1.2.2
300,299,U7494,FUSE0,p:2.1.5.1.2.2
301,299,U7495,FUSE1,p:1.1.4.1.2.2
302,299,U7496,FUSE1,p:2.1.2.1.2.2
303,299,U7497,FUSE1,p:1.2.1.1.2.2
304,299,U7498,FUSE1,p:2.1.3.1.2.2
305,299,U7499,FUSE1,p:1.1.5.1.2.2
306,299,U7500,FUSE1,p:2.1.4.1.2.2
307,299,U7501,FUSE1,p:1.2.2.1.2.2
308,299,U7502,FUSE1,p:2.1.1.1.2.2
309,299,U7503,FUSE1,p:1.1.3.1.2.2
310,299,U7504,FUSE2,p:2.1.5.1.2.2
311,299,U7505,FUSE2,p:1.2.4.1.2.2
312,299,U7506,FUSE2,p:2.1.2.1.2.2
313,299,U7507,FUSE2,p:1.2.1.1.2.2
314,299,U7508,FUSE2,p:2.1.3.1.2.2
315,299,U7509,FUSE2,p:1.1.5.1.2.2
316,299,U7510,FUSE2,p:2.1.4.1.2.2
317,299,U7511,FUSE2,p:1.1.2.1.2.2
318,111,U2758,FUSE0,p:2.1.1.2.2.2
319,111,U2759,FUSE0,p:1.1.3.1.2.2
320,111,U2760,FUSE0,p:2.1.5.1.2.2
321,111,U2761,FUSE0,p:1.2.1.2.2.2
322,111,U2762,FUSE0,p:2.1.4.1.2.2
323,111,U2763,FUSE0,p:1.2.2.1.2.2
324,111,U2764,FUSE0,p:2.1.3.1.2.2
325,111,U2765,FUSE0,p:1.1.5.1.2.2
326,111,U2766,FUSE0,p:2.1.1.2.2.2
327,111,U2767,FUSE1,p:1.1.4.1.2.2
328,111,U2768,FUSE1,p:2.1.2.1.2.2
329,111,U2769,FUSE1,p:1.1.3.1.2.2
330,111,U2770,FUSE1,p:2.1.5.1.2.2
331,111,U2771,FUSE1,p:1.2.1.2.2.2
332,111,U2772,FUSE1,p:2.1.4.1.2.2
333,111,U2773,FUSE1,p:1.1.2.1.2.2
334,111,U2774,FUSE1,p:2.1.3.1.2.2
335,111,U2775,FUSE1,p:1.1.5.1.2.2
336,111,U2776,FUSE2,p:2.1.1.1.2.2
337,111,U2777,FUSE2,p:1.1.4.1.2.2
338,111,U2778,FUSE2,p:2.1.3.1.2.2
339,111,U2779,FUSE2,p:1.1.2.1.2.2
340,111,U2780,FUSE2,p:2.1.5.1.2.2
341,111,U2781,FUSE2,p:1.1.1.1.2.2
342,111,U2782,FUSE2,p:2.1.4.1.2.2
343,111,U2783,FUSE2,p:1.1.2.1.2.2
344,111,U2784,FUSE2,p:2.1.3.1.2.2
345,86,U2143,FUSE0,p:1.1.5.1.2.2
346,86,U2144,FUSE0,p:2.1.1.1.2.2
347,86,U2145,FUSE0,p:1.1.4.1.2.2
348,86,U2146,FUSE0,p:2.1.2.1.2.2
349,86,U2147,FUSE0,p:1.1.3.1.2.2
350,86,U2148,FUSE0,p:2.1.5.1.2.2
351,86,U2149,FUSE0,p:1.2.1.1.2.2
352,86,U2150,FUSE0,p:2.1.4.1.2.2
353,86,U2151,FUSE0,p:1.1.2.1.2.2
354,86,U2152,FUSE1,p:2.1.3.1.2.2
355,86,U2153,FUSE1,p:1.1.5.1.2.2
356,86,U2154,FUSE1,p:2.1.1.2.1.2
357,86,U2155,FUSE1,p:1.1.4.1.2.2
358,86,U2156,FUSE1,p:2.1.2.1.2.2
359,86,U2157,FUSE1,p:1.1.3.1.2.2
360,86,U2158,FUSE1,p:2.1.5.1.2.2
361,86,U2159,FUSE1,p:1.2.1.2.1.2
362,86,U2160,FUSE1,p:2.1.2.1.2.2
363,86,U2161,FUSE2,p:1.1.4.1.2.2
364,86,U2162,FUSE2,p:2.1.3.1.2.2
365,86,U2163,FUSE2,p:1.1.5.1.2.2
366,86,U2164,FUSE2,p:2.1.1.2.1.2
367,86,U2165,FUSE2,p:1.1.2.1.2.2
368,86,U2166,FUSE2,p:2.1.4.1.2.2
369,86,U2167,FUSE2,p:1.1.3.1.2.2
370,86,U2168,FUSE2,p:2.1.5.1.2.2
371,86,U2169,FUSE2,p:1.1.1.2.1.2
372,86,U2170,FUSE2,p:2.1.2.1.2.2
373,148,U3694,FUSE0,p:1.1.4.1.2.2
374,148,U3695,FUSE0,p:2.1.3.1.2.2
375,148,U3696,FUSE0,p:1.1.5.1.2.2
376,148,U3697,FUSE0,p:2.1.1.2.1.2
377,148,U3698,FUSE0,p:1.1.4.1.2.2
378,148,U3699,FUSE0,p:2.1.2.1.2.2
379,148,U3700,FUSE0,p:1.1.3.1.2.2
380,148,U3701,FUSE1,p:2.1.5.1.2.2
381,148,U3702,FUSE1,p:1.1.1.2.1.2
382,148,U3703,FUSE1,p:2.1.4.1.2.2
383,148,U3704,FUSE1,p:1.1.2.1.2.2
384,148,U3705,FUSE1,p:2.1.3.1.2.2
385,148,U3706,FUSE1,p:1.1.5.1.2.2
386,148,U3707,FUSE1,p:2.1.1.2.1.2
387,148,U3708,FUSE2,p:1.1.4.1.2.2
388,148,U3709,FUSE2,p:2.1.2.1.2.2
389,148,U3710,FUSE2,p:1.1.3.1.2.2
390,148,U3711,FUSE2,p:2.1.5.1.2.2
391,148,U3712,FUSE2,p:1.1.1.2.1.2
392,148,U3713,FUSE2,p:2.1.4.1.2.2
393,148,U3714,FUSE2,p:1.1.2.1.2.2
394,218,U5449,FUSE0,p:2.1.2.1.2.2
395,218,U5450,FUSE0,p:1.2.1.1.2.2
396,218,U5451,FUSE0,p:2.1.4.1.2.2
397,218,U5452,FUSE0,p:1.1.5.1.2.2
398,218,U5453,FUSE0,p:2.1.3.1.2.2
399,218,U5454,FUSE0,p:1.1.2.1.2.2
400,218,U5455,FUSE0,p:2.1.1.1.2.2
401,218,U5456,FUSE0,p:1.1.4.1.2.2
402,218,U5457,FUSE1,p:2.1.1.1.2.2
403,218,U5458,FUSE1,p:1.2.4.1.2.2
404,218,U5459,FUSE1,p:2.1.3.1.2.2
405,218,U5460,FUSE1,p:1.1.5.1.2.2
406,218,U5461,FUSE1,p:2.1.1.2.1.2
407,218,U5462,FUSE1,p:1.2.4.1.2.2
408,218,U5463,FUSE1,p:2.1.3.1.2.2
409,218,U5464,FUSE1,p:1.1.2.1.2.2
410,218,U5465,FUSE2,p:2.1.5.1.2.2
411,218,U5466,FUSE2,p:1.1.1.2.1.2
412,218,U5467,FUSE2,p:2.1.4.1.2.2
413,218,U5468,FUSE2,p:1.1.3.1.2.2
414,218,U5469,FUSE2,p:2.1.2.1.2.2
415,218,U5470,FUSE2,p:1.1.5.1.2.2
416,218,U5471,FUSE2,p:2.1.1.2.1.2
417,218,U5472,FUSE2,p:1.2.4.1.2.2
418,218,U5473,FUSE2,p:2.1.3.1.2.2
419,348,U8697,FUSE0,p:1.2.2.1.2.2
420,348,U8698,FUSE0,p:2.1.5.1.2.2
421,348,U8699,FUSE0,p:1.1.1.2.1.2
